n,burbuja_promedio,burbuja_mejor,burbuja_peor,quick_promedio,quick_mejor,quick_peor,insertion_promedio,insertion_mejor,insertion_peor,merge_promedio,merge_mejor,merge_peor
2,2100,1700,800,2600,1000,900,700,600,700,3600,1400,1100
3,500,500,800,1400,1200,1200,500,500,900,1800,1500,1500
4,900,600,900,1300,1300,1300,700,500,800,2100,1700,2300
5,1100,600,1100,1400,1700,1600,900,600,900,2400,2200,2000
6,1200,500,1200,1400,2100,1800,1000,600,900,2500,2600,2300
7,1300,700,1400,1900,2400,2500,900,600,1000,3300,3000,2600
8,1600,600,1700,1900,2200,2000,1000,600,1100,3300,2500,2700
9,1700,600,1800,2100,11000,2800,1100,700,1300,3600,3000,3400
10,1800,600,2300,4100,2800,3200,1400,500,1400,4300,3000,3700
11,2100,600,2400,3300,4600,2900,1700,700,2100,6400,6500,5100
12,3300,800,3600,3200,3900,3400,1900,1300,2400,6500,9100,5200
13,3500,800,3800,7900,5000,3800,1700,900,2800,23800,6200,5700
14,7500,900,4200,27000,5100,4000,2600,800,2800,6000,5300,5500
15,4000,1000,4800,3400,5400,4600,2300,800,4800,15500,5900,6600
16,4500,1000,5300,3500,5200,9700,2600,700,3100,11500,6800,6900
17,5400,1100,5500,4300,7700,3900,2400,700,3200,10100,1700,1300
18,7500,700,5400,21500,1300,1100,2400,700,3700,1900,1300,1200
19,6100,700,5900,1400,1200,1200,3100,800,4500,2000,1500,1200
20,5500,700,7800,1200,1400,1200,2700,700,4000,1600,2200,1200
21,6200,800,8000,1700,1500,1800,3200,800,4400,20100,1400,1300
22,6000,700,8200,1200,1400,1300,2800,800,5400,1900,1200,1300
23,7100,800,8100,1600,1600,1600,3200,800,5300,3100,1300,1700
24,9000,800,10400,1400,1600,1600,3500,800,6100,1800,1200,1300
25,8400,700,9500,1400,1800,1500,3600,700,5700,3400,1400,1400
26,11600,5000,10300,5100,2000,1600,3800,700,6800,3300,1300,2400
27,10000,600,12400,1400,1800,1600,4500,800,6500,1900,2500,1500
28,8400,600,12400,1300,2000,1700,3700,800,7500,3900,1300,1300
29,11000,700,12500,1500,1900,1700,4700,800,7500,2100,1300,5800
30,12800,700,13400,2100,2000,1900,5600,700,8000,2600,1700,1700
31,13700,700,16800,2300,3600,3700,6400,1600,8400,2900,1900,1800
32,18700,700,15400,3100,2700,2200,5600,800,9700,3200,1800,1800
33,15700,700,16200,1700,2300,2200,6500,800,10200,3900,2100,1800
34,19200,900,18200,1700,2700,2500,6000,800,10600,2600,1800,2200
35,17100,1200,21700,1900,4100,2500,6900,1800,12600,4500,2500,2300
36,16000,900,65600,2300,2900,2500,7200,900,19800,3300,2300,8700
37,5400,100,2300,1900,3700,2600,2600,200,1800,3000,2000,2300
38,4300,500,2400,2100,3000,2700,1500,200,1900,3100,1900,2100
39,3400,200,2400,2000,3300,3000,1400,200,2200,3500,2000,2700
40,3800,100,2500,2200,3200,2900,1400,100,2000,3500,1800,1900
41,4000,200,2800,2100,3400,3200,1400,200,2200,3100,2300,2600
42,5500,200,2700,2100,3400,13300,1700,200,2200,3600,2400,2500
43,5300,200,3000,2500,5100,3700,1300,200,2800,8900,2400,2500
44,4900,200,3100,4500,4600,3800,2500,300,2500,8100,3500,3500
45,4500,200,3200,21800,1500,1600,1800,100,2400,4100,2800,2700
46,6800,200,3300,1900,1400,1600,1700,200,2500,3800,2300,2700
47,4300,200,3500,1800,1400,1700,1600,200,2600,3700,2300,18800
48,5000,200,3500,2100,1600,1600,1700,100,3200,3700,2700,2600
49,5300,200,5200,1900,1600,1700,1800,200,2800,4000,2700,2800
50,5500,200,3900,2000,1600,1600,1700,200,3900,4100,2800,2700
51,5500,300,4000,2000,1500,1700,2000,200,2900,9400,2600,3000
52,6100,200,4000,2000,1500,1700,2200,200,3700,4100,2800,2700
53,14000,200,4200,1800,1800,1700,2200,300,3300,9300,2900,2900
54,6700,200,4700,2100,1800,1700,2600,300,6000,6100,5800,5100
55,8200,400,23200,2700,2000,1900,2000,200,3600,5000,2700,3000
56,6300,200,4700,2300,1800,2000,2900,200,3500,4400,2900,2800
57,7200,200,4800,2100,1900,2000,2200,300,3600,15600,7200,3300
58,76500,200,5100,2200,1900,2000,2500,200,3800,4000,2000,2500
59,6900,200,5200,2300,1900,2000,16800,200,5300,3700,2000,2300
60,7500,200,55000,2600,14500,3200,2900,300,4000,4300,2800,2500
61,7800,200,5500,2400,2600,2200,2700,200,4200,8000,2100,2300
62,7900,200,41500,2200,1900,2100,3100,300,4500,3700,2100,2400
63,8100,200,5700,2100,1900,2100,2900,200,4600,3600,3800,2500
64,8200,100,3200,2400,1900,2200,2900,200,57800,3600,2100,2400
65,5800,200,2900,2400,2000,2300,2700,300,4800,4000,2200,2500
66,6100,100,3100,2400,2100,2200,2900,200,4900,4600,2200,2600
67,6300,100,3300,3700,2100,2200,27400,300,4900,4200,2600,2600
68,6000,100,3500,2400,1900,2300,44200,2400,20800,4300,2400,3500
69,6600,100,3300,2600,2200,2300,22600,1600,19000,4800,2500,2600
70,7600,100,3400,3300,3000,3900,25200,1900,22800,5800,8500,3000
71,7100,100,3700,3200,2300,2700,28500,1600,15900,6200,2900,3500
72,7200,100,3700,3100,2300,2600,23300,1700,19500,4500,2300,3200
73,7600,100,3700,2800,4100,2600,4300,200,1500,4400,3000,2800
74,7200,100,3600,2700,2200,2600,1200,100,1600,4400,2500,2900
75,6600,100,4000,2900,4400,2800,1100,100,1700,5300,3900,3900
76,6900,100,3700,17500,3400,2800,1200,200,1600,4400,2400,7300
