n,burbuja,quick,insertion,merge
2,2800,3100,1300,3700
3,1400,1600,1500,2500
4,1900,1800,1700,3300
5,1900,2000,1800,3000
6,1600,2700,2600,5100
7,3600,2500,2500,3900
8,1700,2500,2600,4400
9,2100,2500,2800,4500
10,2000,4000,2300,5000
11,2300,2800,2500,5300
12,2300,3100,3000,7200
13,3800,11900,4400,6300
14,3000,13300,3200,6100
15,4800,24800,3700,6600
16,4400,3200,3300,7000
17,6000,3600,3500,18600
18,12700,4200,3200,26800
19,5500,3900,3400,8700
20,6800,16900,13200,8200
21,6700,2200,1900,8700
22,8500,1900,1500,9300
23,10900,2100,1900,15800
24,13700,2100,2100,8300
25,13600,5400,16500,4200
26,11100,15200,2200,3400
27,9800,2100,2400,5100
28,9700,2900,2200,3900
29,16300,2500,2300,22700
30,13600,2600,2300,4200
31,14800,4400,2400,4800
32,14700,2200,1900,3900
33,19200,3900,2400,11600
34,20200,2800,2800,4700
35,20500,3000,2700,4700
36,19400,3100,3600,8400
37,30000,3200,2200,9800
38,25100,3100,2300,4900
39,20100,2900,2000,5000
40,22600,2700,2000,4200
41,24200,2800,2400,4800
42,24700,5200,3200,5600
43,25000,3300,3000,5300
44,30800,3000,3000,8100
45,25600,3300,3100,6100
46,24800,3600,5400,5800
47,33500,3300,3100,6300
48,36100,4500,3300,8500
49,50200,4400,2900,9800
50,48200,5800,4600,9100
51,43000,4000,4000,9700
52,39800,4000,3100,6200
53,33400,3800,4000,6300
54,41400,3700,2700,6200
55,42600,3800,3000,6800
56,65300,4300,3200,6900
57,44600,3800,3600,6400
58,58000,16400,3300,10000
59,44300,6000,5500,7200
60,52800,4100,6000,7700
61,50300,5800,4300,7300
62,42300,3900,4200,6600
63,42300,24200,2300,6800
64,84000,3600,3400,11900
65,57900,3000,3300,29600
66,83900,3900,3900,10600
67,73300,3800,3300,14500
68,69300,20400,3000,8300
69,60600,3200,15900,13900
70,71700,3200,2900,20900
71,76600,3200,3500,17400
72,107500,4200,3100,9400
73,85900,4200,2500,10900
74,17400,3500,6400,11100
75,15300,3700,2400,8800
76,13400,3200,3300,8800
77,12400,3200,2300,8700
78,14400,3300,4300,14200
79,17400,4100,7000,9200
80,13100,3300,3200,23500
81,16400,4800,3600,9100
82,17600,4400,3600,20700
83,16600,3400,3700,6600
84,14000,3500,2500,8500
85,15100,3300,2500,6800
86,17600,3700,2800,8900
87,16500,3600,3700,19100
88,17700,3700,4000,9700
89,15500,3700,2600,9200
90,31200,3700,3800,8200
91,17400,4100,4100,7300
92,19400,3800,3900,7600
93,26300,5000,3100,21700
94,20000,4000,3700,8300
95,28000,5100,7000,13100
96,30900,4300,3900,7200
97,26000,7000,4100,10700
98,31300,5900,4000,11100
99,33300,18000,4100,7300
100,20100,4100,4100,20400
101,31100,4200,3900,8100
102,36200,4700,4000,11600
103,34500,5800,5300,12800
104,34400,6300,5400,11700
105,38500,4800,5900,9300
106,32100,6300,5900,12100
107,39300,6400,4400,13000
108,29100,4700,4500,11000
109,25100,4600,4600,10800
110,132200,5300,5300,14200
111,37300,6300,4100,9400
112,97700,5300,3700,12900
113,35700,4700,3700,11800
114,20100,6700,4300,13100
115,17000,4800,3900,9800
116,16100,4600,3500,9000
117,16600,4600,4700,13100
118,16100,4800,4600,9600
119,20300,6100,4900,22000
120,19800,4800,4900,9400
121,17400,5100,4800,13300
122,18200,4900,4700,24100
123,18200,4900,4900,9800
124,21700,9700,5000,14000
125,19500,7100,5100,9900
126,20500,6900,4400,13600
127,22400,6500,7100,14000
128,18700,5900,4100,10100
129,22600,5600,6200,10700
130,19500,5700,5400,12900
131,20000,12800,5600,11500
132,19600,5100,3400,14600
133,20800,6500,4900,10600
134,24000,6600,3800,13500
135,23800,6700,5100,36700
136,22000,5700,4100,24400
137,21500,5600,4900,11300
138,20700,5300,5000,11300
139,26600,5800,5300,11700
140,25100,5500,5700,12100
141,21800,5800,4100,12200
142,23000,5600,4100,11800
143,22300,5500,5400,11400
144,23700,5400,4200,22000
145,23600,5200,3500,11400
146,26100,6900,5300,11700
147,25500,5400,4000,11600
148,24800,5600,5600,12400
149,24600,6200,4400,17600
150,25300,7000,5700,12300
151,25900,5700,6700,31300
152,29900,5900,4600,11600
153,26000,6000,5800,25100
154,27100,6700,5600,12300
155,29000,7200,6900,81800
156,32800,6200,5000,12700
157,31100,7600,6600,43300
158,43100,9000,7700,13700
159,31100,6400,4900,16500
160,33500,9100,7700,19300
161,34800,9200,7700,15900
162,34700,6400,6300,13100
163,28000,7800,6600,13900
164,35100,8800,7300,13700
165,30400,6300,6100,25900
166,30200,6200,4800,13700
167,30300,6400,59600,54000
168,30500,6500,4600,14200
169,34600,7300,6700,39100
170,32700,8000,5600,28700
171,32200,6700,6400,26600
172,31500,6500,8000,16800
173,33600,6900,6400,25100
174,31900,6100,6200,13900
175,30100,6200,6300,25600
176,39400,6700,4600,13600
177,37200,6700,4800,13500
178,38900,7000,7000,14700
179,33500,6800,6700,13600
180,35000,7000,6800,13800
181,35500,6500,5100,13900
182,34200,6900,6700,19300
183,34700,6900,5000,14600
184,37100,6900,7700,20500
185,35100,9600,9000,20600
186,36300,7300,5200,27600
187,37300,7400,6800,14400
188,36800,7100,7000,25000
189,35100,6800,6900,14200
190,37300,7000,6800,24500
191,40800,7400,7000,14300
192,40600,7400,7400,14200
193,42400,7400,7400,14800
194,37400,7300,6900,15300
195,39300,7200,6900,14600
196,39900,7300,5200,14700
197,41700,7600,7300,26900
198,40500,7500,7500,15600
199,40700,7600,7700,61900
200,43000,7600,7600,15600
201,45200,7600,5800,16600
202,47500,7800,9200,16100
203,42200,8300,7700,15700
204,42400,7700,7800,27000
205,43000,7900,5800,16200
206,43900,7600,5100,26500
207,44200,8000,7900,15700
208,43000,7700,7800,15600
209,41700,7800,7700,15500
210,47300,7800,8000,15300
211,44400,8500,8200,28200
212,44000,7800,7600,16800
213,46000,7700,7600,16200
214,46800,7900,5800,16400
215,48700,7700,9800,16100
216,47400,8300,8200,29900
217,56700,8100,7800,17900
218,48400,7900,7700,17100
219,45800,8100,8100,16800
220,54300,8500,8800,17300
221,60100,10800,10400,30600
222,49900,8500,8500,17500
223,49500,8500,7000,16900
224,49400,8500,8100,16800
225,49500,8500,8200,17500
226,58700,8100,6100,29500
227,49200,8500,6400,17200
228,51400,8600,6800,21600
229,61500,8600,8400,29500
230,52200,8400,8500,17600
231,53500,9700,7900,25200
232,55400,9000,8600,17700
233,58400,9100,8800,18000
234,55500,9000,8800,18400
235,54200,9100,9000,17300
236,58200,9000,6700,19100
